,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
4113,"""applied cryptography and network security : 8th international conference, acns 2010, beijing, china, june 22-25, 2010 ; proceedings""","""zhou, jianying. | yung, moti.""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642137082,"""lecture notes in computer science ; 6123.""","""1 online resource (xiii, 564 p.)""",b
4114,"""technological convergence and social networks in information management : second international symposium on information management in a changing world, imcw 2010, ankara,...""","""kurbanoälu, serap.""","""berlin ; springer, c2010.""","""electronic books. | conference papers and proceedings.""",9783642160325,"""communications in computer and information science ; 96.""","""1 online resource (xii, 230 p.).""",b
4115,"""public key infrastructures, services and applications : 6th european workshop, europki 2009, pisa, italy, september 10-11, 2009 : revised selected papers""","""martinelli, fabio, | preneel, bart,""","""berlin""","""electronic books. | conference papers and proceedings.""",9783642164415,"""lecture notes in computer science ; 6391. 0302-9743 lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (x, 301 p.)""",b
4116,"""public key infrastructures, services and applications : 7th european workshop, europki 2010, athens, greece, september 23-24, 2010, revised selected papers""","""camenisch, jan. | lambrinoudakis, costas.""","""berlin ; springer, â©2011.""","""electronic books. | conference papers and proceedings.""",9783642226335,"""lecture notes in computer science ; 6711. 0302-9743 lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (xii, 207 pages)""",b
4117,"""web information systems engineering-- wise 2010 workshops : wise 2010 international symposium wiss, and international workshops cise, mbc, hong kong, china, december 12-14,...""","""chiu, dickson k. w.,""","""berlin ; springer, â©2011.""","""electronic books. | conference papers and proceedings.""",9783642243967,"""lecture notes in computer science ; 6724. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xxii, 506 pages).""",b
4118,"""innovations in defence support systems. 2, socio-technical systems""","""jain, l. c. | aidman, eugene v. | abeynayake, canicious.""","""berlin ; springer, c2011.""","""electronic books.""",9783642177644,"""studies in computational intelligence ; v. 338.""","""1 online resource (xiii, 286 p.).""",b
4119,"""web reasoning and rule systems : 6th international conference, rr 2012, vienna, austria, september 10-12, 2012. proceedings""","""krã¶tzsch, markus. | straccia, umberto.""","""berlin ; springer, â©2012.""","""electronic books. | conference papers and proceedings.""",9783642332036,"""lecture notes in computer science ; 7497. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xv, 298 pages).""",b
4120,"""advanced concepts for intelligent vision systems : 8th international conference, acivs 2006, antwerp, belgium, september 18-21, 2006 : proceedings""","""blanc-talon, jacques,""","""berlin ; springer, â©2006.""","""electronic books. | conference papers and proceedings.""",9783540446323,"""lncs sublibrary. sl 6, image processing, computer vision, pattern recognition, and graphics. lecture notes in computer science ; 4179.""","""1 online resource (xxiv, 1224 pages)""",b
4121,"""the mobile learning voyage - from small ripples to massive open waters : 14th world conference on mobile and contextual learning, mlearn 2015, venice, italy, october 17-24,...""","""brown, tom h. | van der merwe, h. j.""","""cham""","""electronic books.""",9783319256849,"""communications in computer and information science ; 560. 1865-0929""","""1 online resource (xi, 405 pages)""",b
4122,"""computer supported education : 6th international conference, csedu 2014 barcelona, spain, april 1-3, 2014, revised selected papers""","""zvacek, susan. | restivo, maria teresa, | uhomoibhi, j. o., | helfert, markus.""","""cham""","""electronic books.""",9783319257686,"""communications in computer and information science ; 510. 1865-0929""","""1 online resource (xvii, 390 pages)""",b
