	Title	Author	Publication	Format	ISBN	Series	Physical Details
190	Clojure for data science : statistics, big data, and machine learning for Clojure programmers  	Garner, Henry	Birmingham, UK	Electronic books.	9781784397500 1784397504	Community experience distilled.	1 online resource
191	Getting started with data science : making sense of data with analytics  	Haider, Murtaza	Boston	Electronic books.	9780133991246 0133991245		1 online resource
192	Data smart : using data science to transform information into insight  	Foreman, John W.	Hoboken, New Jersey		9781118661468 (pbk.)111866146X (pbk.)		xx, 409 pages
193	R for data science : import, tidy, transform, visualize, and model data  	Wickham, Hadley	Sebastopol, CA		9781491910399 (paperback)1491910399 (paperback)9781491910368 1491910364		xxv, 492 pages
195	Data science algorithms in a week : data analysis, machine learning, and more  	Natingga, DÃ¡vid	Birmingham, UK	Electronic books.	9781787282742 1787282740		1 online resource
200	Clojure for data science : statistics, big data, and machine learning for Clojure programmers  	Garner, Henry	Birmingham, UK	Electronic books.	9781784397500 1784397504	Community experience distilled.	1 online resource
201	Getting started with data science : making sense of data with analytics  	Haider, Murtaza	Boston	Electronic books.	9780133991246 0133991245		1 online resource
203	Marketing data science : modeling techniques in predictive analytics with R and Python  	Miller, Thomas W.	Old Tappan, New Jersey	Electronic books.	9780133887662 0133887669 9780133887624 0133887626		1 online resource
205	Sports analytics and data science : winning the game with methods and models  	Miller, Thomas W., 1946-	Old Tappan, New Jersey	Electronic books.	9780133887402 0133887405		1 online resource
206	Practical data science with Hadoop and Spark : designing and building effective analytics at scale  	Medelevitch, Ofer	Boston	Electronic books.	9780134029733 0134029739		1 online resource
207	Data science and complex networks : real cases studies with Python  	Caldarelli, Guido	Oxford	Electronic books.	9780191782916 (ebook)		1 online resource
208	Introduction to data science : a Python approach to concepts, techniques and applications  	Igual, Laura.	Cham, Switzerland	Electronic books.	9783319500171 (electronic bk.)3319500171 (electronic bk.)	Undergraduate topics in computer science.	1 online resource.
210	Financial analytics with R : building a laptop laboratory for data science  	Bennett, Mark J. (Mark Joseph), 1959-	Cambridge, United Kingdom	Electronic books. | Databases.	9781316584460 (electronic bk.)1316584461 (electronic bk.)		1 online resource (xvi, 377 pages)
211	Functional programming in R : advanced statistical programming for data science, analysis and finance  	Mailund, Thomas	[United States]	Electronic books.	9781484227466 (electronic bk.)1484227468 (electronic bk.) (print)		1 online resource (xv, 104 pages)
213	Metaprogramming in R : advanced statistical programming for data science, analysis, and finance  	Mailund, Thomas.	[United States]	Electronic books.	9781484228814 (electronic bk.)1484228812 (electronic bk.)		1 online resource
215	Proceedings of the Second International Workshop on Data Science for Macro-Modeling  	Data, ACM Special Interest Group on Management of.	[S.l.]	Electronic books.	1450344070 9781450344074		1 online resource
218	Sports analytics and data science : winning the game with methods and models  	Miller, Thomas W., 1946-	Old Tappan, New Jersey	Statistics. | Statistics.	9780133886436 0133886433		xiii, 337 pages
219	Computer age statistical inference : algorithms, evidence, and data science  	Efron, Bradley	New York	Electronic books.	9781316576533 (electronic bk.)1316576531 (electronic bk.) (hardback ; (hardback ;	Institute of Mathematical Statistics monographs ; 5.	1 online resource (xx, 475 pages)
220	Marketing data science : modeling techniques in predictive analytics with R and Python  	Miller, Thomas W.	Old Tappan, New Jersey	Electronic books.	9780133887662 0133887669 9780133887624 0133887626		1 online resource
221	Web and network data science : modeling techniques in predictive analytics  	Miller, Thomas W., 1946-	Upper Saddle River, New Jersey	Electronic books.	9780133887655 0133887650		1 online resource
225	Sports analytics and data science : winning the game with methods and models  	Miller, Thomas W., 1946-	Old Tappan, New Jersey	Electronic books.	9780133887402 0133887405		1 online resource
226	Practical data science with Hadoop and Spark : designing and building effective analytics at scale  	Medelevitch, Ofer	Boston	Electronic books.	9780134029733 0134029739		1 online resource
231	Mastering Spark for data science : master the techniques and sophisticated analytics used to construct Spark-based solutions that scale to deliver production-grade data science...	Morgan, Andrew	Birmingham, UK	Electronic books.	9781785888281 1785888285		1 online resource
232	Mastering Spark for data science : master the techniques and sophisticated analytics used to construct Spark-based solutions that scale to deliver production-grade data science...	Morgan, Andrew	Birmingham, UK	Electronic books.	9781785888281 1785888285		1 online resource
233	Hands-on DevOps : explore the concept of continuous delivery and integrate it with data science concepts  	Vadapalli, Sricharan	Birmingham, UK	Electronic books.	9781788476041 1788476042		1 online resource
234	"Advances in Data Science and Classification : Proceedings of the 6th Conference of the International Federation of Classification Societies (IFCS-98) UniversitÃ  ""La Sapienza"",..."	Rizzi, Alfredo.	Berlin, Heidelberg	Electronic books.	9783642722530 electronic bk.3642722539 electronic bk.	Studies in classification, data analysis, and knowledge organization.	1 online resource (xv, 682 pages)
235	Trends in applied knowledge-based systems and data science : 29th International Conference on Industrial Engineering and Other Applications of Applied Intelligent Systems,...	Fujita, Hamido, | Ali, Moonis, | Selamat, Ali, | Sasaki, Jun, | Kurematsu, Masaki,	Switzerland	Electronic books. | Conference papers and proceedings.	9783319420073 (electronic bk.)3319420070 (electronic bk.) (print)	Lecture notes in computer science. Lecture notes in artificial intelligence ; 9799. LNCS sublibrary. SL 7, Artificial intelligence.	1 online resource (xviii, 1021 pages)
236	Soft computing in data science : second International Conference, SCDS 2016, Kuala Lumpur, Malaysia, September 21-22, 2016, Proceedings  	Berry, Michael W., | Hj. Mohamed, Azlinah, | Wah, Yap Bee,	Singapore	Electronic books. | Conference papers and proceedings.	9789811027772 (electronic bk.)9811027773 (electronic bk.) (print)	Communications in computer and information science ; 652. 1865-0929	1 online resource (xix, 311 pages)
237	IPython interactive computing and visualization cookbook : over 100 hands-on recipes to sharpen your skills in high-performance numerical computing and data science with Python  	Rossant, Cyrille.	Birmingham, UK	Electronic books.	9781783284825 178328482X		1 online resource
238	Python : real world machine learning : learn to solve challenging data science problems by building powerful machine learning models using Python  	Joshi, Prateek	Birmingham, UK	Electronic books.	9781787120679 1787120678		1 online resource
239	Python : real world machine learning : learn to solve challenging data science problems by building powerful machine learning models using Python  	Joshi, Prateek	Birmingham, UK	Electronic books.	9781787120679 1787120678		1 online resource
240	IPython interactive computing and visualization cookbook : over 100 hands-on recipes to sharpen your skills in high-performance numerical computing and data science with Python  	Rossant, Cyrille.	Birmingham, UK	Electronic books.	9781783284825 178328482X		1 online resource
